Date,Open,High,Low,Close,Volume,Open_N,High_N,Low_N,Close_N,Volume_N
2006-01-03,10718.3,10862.8,10684.5,10847.4,352768289,0.354458895,0.35674963,0.357086272,0.365510049,0.452787471
2006-01-04,10844,10892.6,10833.9,10880.2,317041299,0.365140359,0.359309382,0.369744489,0.368297899,0.402096345
2006-01-05,10880.4,10908.2,10843.7,10882.2,294184060,0.36823348,0.360649387,0.370574814,0.36846789,0.369665424
2006-01-06,10875.5,10968.8,10875.5,10959.3,340644186,0.367817098,0.36585479,0.373269133,0.375021036,0.435585226
2006-01-09,10959.5,11020.2,10944.4,11011.9,285839278,0.374955069,0.370269934,0.379106825,0.379491795,0.357825457
2006-01-10,11010.5,11014,10949.9,11011.6,264270576,0.379288837,0.369737368,0.379572823,0.379466297,0.327222773
2006-01-11,11011.7,11047.8,10992,11043.4,266267888,0.379390808,0.372640711,0.383139831,0.382169151,0.330056652
2006-01-12,11043.1,11045.8,10951.2,10962.4,244887888,0.38205905,0.372468916,0.379682968,0.375284522,0.299721707
2006-01-13,10961.5,10992.7,10921.5,10959.9,209947088,0.375125021,0.367907746,0.377166576,0.375072034,0.250146065
2006-01-17,10957.5,10957.9,10875.6,10896.3,251466864,0.374785117,0.364918505,0.373277606,0.369666325,0.309056267
2006-01-18,10890.1,10890.1,10817.3,10854.9,361540768,0.369057745,0.359094638,0.36833802,0.366147515,0.465234275
2006-01-19,10855.2,10916,10852.1,10880.7,370966624,0.366092088,0.361319389,0.371286521,0.368340396,0.47860812
2006-01-20,10880.7,10880.7,10661.2,10667.4,449337824,0.368258972,0.358287199,0.355112132,0.350210874,0.589804848
2006-01-23,10668.8,10737,10666.3,10688.8,366092320,0.350252591,0.345943694,0.35554424,0.352029776,0.47169223
2006-01-24,10690.2,10750.3,10686,10712.2,375982912,0.352071074,0.347086134,0.357213362,0.354018668,0.485725465
2006-01-25,10713.2,10760.6,10672.6,10709.7,412464608,0.354025518,0.347970881,0.35607802,0.35380618,0.537487403
2006-01-26,10711,10828,10710.9,10809.5,400554560,0.353838571,0.353760388,0.359323065,0.362288723,0.520588869
2006-01-27,10815.3,10932.3,10804.8,10907.2,398812448,0.362701552,0.362719522,0.367278932,0.370592775,0.518117079
2006-01-30,10908.5,10930.5,10887.4,10899.9,323686432,0.370621301,0.362564906,0.374277384,0.369972308,0.411524771
2006-01-31,10900.4,10923.5,10862.1,10864.9,369374368,0.369932997,0.361963622,0.372133791,0.366997469,0.476348953
2006-02-01,10862.1,10967.6,10852.8,10954,333583872,0.366678422,0.365751713,0.371345829,0.374570561,0.425567722
2006-02-02,10950.1,10950.1,10827.2,10852,314194144,0.374156296,0.364248502,0.369176818,0.365901028,0.398056668
2006-02-03,10849.6,10863.6,10779,10793.6,346599520,0.365616224,0.356818348,0.365092975,0.360937295,0.444034932
2006-02-06,10793.3,10814.5,10771,10798.3,263194064,0.360832083,0.352600769,0.364415159,0.361336774,0.325695367
